Bình luận,Tôn giáo,Chính trị,Cá nhân,Đồ vật,Quốc gia,Vùng miền,Tổ chức/ tập thể,Dân tộc,Động vật,NOTE:,,,,
Tnao thiếu iot thế bạn huy minh lương. Bạn về nhà hỏi lại con bà già nhà bạn ra ngoài chợ nhặt đc tiền về có khoe loạn nhà hay k. Hay mang tới c.a tôi nhặt đc 20k 50k k biết của ai tôi mang ra trình các đồng chí. Ai cũng có lòng tham mà những ng như bạn ăn đủ iot lại đéo hiểu cái vđề nó nằm ở đâu. Ng ta mới hỏi là có nên hốt k. Chưa ỉa ra mà các bạn đã chực cắn r. Lại thêm đc 1 con chó to nữa :)),1,,,,,,,,,,,,,
Nhà nước minh nên có những biện pháp mạnh vs những hành vi đi nước ngoài về trốn khai báo.h đứa nào về nước trốn khai báo khi phát hiện đc là dương tính vs vi rút thì mang ra xử bắn luôn!,1,,,,,,,,,,,,,
Chết con đỉ mẹ thầy rồi Long Cua ơi,1,,,,,,,,,,,,,
Thầy em là phải hơn. Nhưng ngu hơn ă🤧,1,,,,,,,,,,,,,
ghét mấy thằng lìn quay dọc vl,1,,,,,,,,,,,,,
Lại thèm lone Ngọc Trinh chứ sao. Ông cứ văn,1,,,,,,,,,,,,,
1đảng là do dân vì cán bộ.....vcc,1,,,,,,,,,,,,,
"phá hoại hạnh phúc nhà ngta , đâu có ảnh hưởng miếng cơm manh áo nhà bạn mà bán báo",0,,,,,,,,,,,,,
thằng VC nào thì củng đều là lưu manh và gian trá .... chức quyền càng cao thì độ lưu manh càng lớn .... ĐM bọn VC ...!!,1,,,,,,,,,,,,,
Lẽ ra ngay từ đầu nó đéo nên về thì hơn,1,,,,,,,,,,,,,
V abe là con đỹ à,1,,,,,,,,,,,,,
nguoi ta co xau hay tot thi moi nguoi biet.  neu Co Hieu ko tot sao moi nguoi thich.  Dan ba gi ma cai mieng xau nhu vay cung co nguoi lay.,0,,,,,,,,,,,,,
anh Kiên tổ trưởng đang lập công mừng chức mới đây mà ! bởi vì nó chả ảnh hưởng đến người nghèo nên chăng anh tư vấn cho thủ tướng dựng 2km một trạm luôn cho máu đi anh !,0,,,,,,,,,,,,,
